municipio,comarca,comarca_modelo,tipo_municipio,fonte_base
Juarez Távora,Comarca de Alagoa Grande,Comarca de Alagoa Grande,Termo,Balcao Virtual TJPB (r.jina.ai)
Juazeirinho,Comarca de Juazeirinho,Comarca de Juazeirinho,Sede,Balcao Virtual TJPB (r.jina.ai)
Junco do Seridó,Comarca de Santa Luzia,Comarca de Santa Luzia,Termo,Balcao Virtual TJPB (r.jina.ai)
Juripiranga,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
Juru,Comarca de Água Branca,Comarca de Água Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Lagoa,Comarca de Pombal,Comarca de Pombal,Termo,Balcao Virtual TJPB (r.jina.ai)
Lagoa Seca,Comarca de Campina Grande,Comarca de Campina Grande,Termo,Balcao Virtual TJPB (r.jina.ai)
Lagoa de Dentro,Comarca de Jacaraú,Comarca de Jacaraú,Termo,Balcao Virtual TJPB (r.jina.ai)
Lastro,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Livramento,Comarca de Taperoá,Comarca de Taperoá,Termo,Balcao Virtual TJPB (r.jina.ai)
Logradouro,Comarca de Belém,Comarca de Belém,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Lucena,Comarca de Cabedelo,Comarca de Cabedelo,Termo,Balcao Virtual TJPB (r.jina.ai)
Malta,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Mamanguape,Comarca de Mamanguape,Comarca de Mamanguape,Sede,Balcao Virtual TJPB (r.jina.ai)
Manaíra,Comarca Integrada de Princesa Isabel e Água Branca,Comarca Int.Pric.Isabel e Agua Branca,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Marcação,Comarca de Rio Tinto,Comarca de Rio Tinto,Termo,Balcao Virtual TJPB (r.jina.ai)
Mari,Comarca de Sapé,Comarca de Sapé,Termo,Balcao Virtual TJPB (r.jina.ai)
Marizópolis,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Massaranduba,Comarca de Campina Grande,Comarca de Campina Grande,Termo,Balcao Virtual TJPB (r.jina.ai)
Mataraca,Comarca de Mamanguape,Comarca de Mamanguape,Termo,Balcao Virtual TJPB (r.jina.ai)
Matinhas,Comarca de Alagoa Nova,Comarca de Alagoa Nova,Termo,Balcao Virtual TJPB (r.jina.ai)
Mato Grosso,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Maturéia,Comarca de Teixeira,Comarca de Teixeira,Termo,Balcao Virtual TJPB (r.jina.ai)
Mogeiro,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
Montadas,Comarca de Esperança,Comarca de Esperança,Termo,Balcao Virtual TJPB (r.jina.ai)
Monte Horebe,Comarca de São José de Piranhas,Comarca de São José de Piranhas,Termo,Balcao Virtual TJPB (r.jina.ai)
Monteiro,Comarca de Monteiro,Comarca de Monteiro,Sede,Balcao Virtual TJPB (r.jina.ai)
Mulungu,Comarca de Alagoinha,Comarca de Alagoinha,Termo,Balcao Virtual TJPB (r.jina.ai)
Mãe d'Água,Comarca de Teixeira,Comarca de Teixeira,Termo,Balcao Virtual TJPB (r.jina.ai)
Natuba,Comarca de Umbuzeiro,Comarca de Umbuzeiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Nazarezinho,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Nova Floresta,Comarca de Cuité,Comarca de Cuité,Termo,Balcao Virtual TJPB (r.jina.ai)
Nova Olinda,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Nova Palmeira,Comarca de Picuí,Comarca de Picuí,Termo,Balcao Virtual TJPB (r.jina.ai)
Olho d'Água,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Olivedos,Comarca de Soledade,Comarca de Soledade,Termo,Balcao Virtual TJPB (r.jina.ai)
Ouro Velho,Comarca de Sumé,Comarca de Sumé,Termo,Balcao Virtual TJPB (r.jina.ai)
Parari,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Passagem,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Patos,Comarca de Patos,Comarca de Patos,Sede,Balcao Virtual TJPB (r.jina.ai)
Paulista,Comarca de São Bento,Comarca de São Bento,Termo,Balcao Virtual TJPB (r.jina.ai)
Pedra Branca,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
Pedra Lavrada,Comarca de Picuí,Comarca de Picuí,Termo,Balcao Virtual TJPB (r.jina.ai)
Pedras de Fogo,Comarca de Pedras de Fogo,Comarca de Pedras de Fogo,Sede,Balcao Virtual TJPB (r.jina.ai)
Pedro Régis,Comarca de Jacaraú,Comarca de Jacaraú,Termo,Balcao Virtual TJPB (r.jina.ai)
Piancó,Comarca de Piancó,Comarca de Piancó,Sede,Balcao Virtual TJPB (r.jina.ai)
Picuí,Comarca de Picuí,Comarca de Picuí,Sede,Balcao Virtual TJPB (r.jina.ai)
Pilar,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
Pilões,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Pilõezinhos,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Pirpirituba,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Pitimbu,Comarca Integrada do Litoral Sul,Comarcas Integradas do Litoral Sul,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Pocinhos,Comarca de Pocinhos,Comarca de Pocinhos,Sede,Balcao Virtual TJPB (r.jina.ai)
Pombal,Comarca de Pombal,Comarca de Pombal,Sede,Balcao Virtual TJPB (r.jina.ai)
Poço Dantas,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Poço de José de Moura,Comarca de São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Termo,Balcao Virtual TJPB (r.jina.ai)
Prata,Comarca de Sumé,Comarca de Sumé,Termo,Balcao Virtual TJPB (r.jina.ai)
Princesa Isabel,Comarca Integrada de Princesa Isabel e Água Branca,Comarca Int.Pric.Isabel e Agua Branca,Sede,Balcao Virtual TJPB (r.jina.ai)
Puxinanã,Comarca de Pocinhos,Comarca de Pocinhos,Termo,Balcao Virtual TJPB (r.jina.ai)
Queimadas,Comarca de Queimadas,Comarca de Queimadas,Sede,Balcao Virtual TJPB (r.jina.ai)
Quixaba,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Remígio,Comarca de Remígio,Comarca de Remígio,Sede,Balcao Virtual TJPB (r.jina.ai)
Riacho de Santo Antônio,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
Riacho dos Cavalos,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Riachão,Comarca de Araruna,Comarca de Araruna,Termo,Balcao Virtual TJPB (r.jina.ai)
Riachão do Bacamarte,Comarca de Ingá,Comarca de Ingá,Termo,Balcao Virtual TJPB (r.jina.ai)
Riachão do Poço,Comarca de Sapé,Comarca de Sapé,Termo,Balcao Virtual TJPB (r.jina.ai)
Rio Tinto,Comarca de Rio Tinto,Comarca de Rio Tinto,Sede,Balcao Virtual TJPB (r.jina.ai)
Salgadinho,Comarca de Taperoá,Comarca de Taperoá,Termo,Balcao Virtual TJPB (r.jina.ai)
Salgado de São Félix,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
Santa Cecília,Comarca de Umbuzeiro,Comarca de Umbuzeiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Santa Cruz,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Santa Helena,Comarca de São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Termo,Balcao Virtual TJPB (r.jina.ai)
Santa Inês,Comarca de Conceição,Comarca de Conceição,Termo,Balcao Virtual TJPB (r.jina.ai)
Santa Luzia,Comarca de Santa Luzia,Comarca de Santa Luzia,Sede,Balcao Virtual TJPB (r.jina.ai)
Santa Rita,Comarca Integrada de Bayeux e Santa Rita,Comarca Integrada de Bayeux e Santa Rita,Sede,Balcao Virtual TJPB (r.jina.ai)
Santa Teresinha,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Santana de Mangueira,Comarca de Conceição,Comarca de Conceição,Termo,Balcao Virtual TJPB (r.jina.ai)
Santana dos Garrotes,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Santo André,Comarca de Juazeirinho,Comarca de Juazeirinho,Termo,Balcao Virtual TJPB (r.jina.ai)
Sapé,Comarca de Sapé,Comarca de Sapé,Sede,Balcao Virtual TJPB (r.jina.ai)
Serra Branca,Comarca de Serra Branca,Comarca de Serra Branca,Sede,Balcao Virtual TJPB (r.jina.ai)
Serra Grande,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
Serra Redonda,Comarca de Ingá,Comarca de Ingá,Termo,Balcao Virtual TJPB (r.jina.ai)
Serra da Raiz,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Serraria,Comarca de Bananeiras,Comarca de Bananeiras,Termo,Balcao Virtual TJPB (r.jina.ai)
Sertãozinho,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Sobrado,Comarca de Sapé,Comarca de Sapé,Termo,Balcao Virtual TJPB (r.jina.ai)
Soledade,Comarca de Soledade,Comarca de Soledade,Sede,Balcao Virtual TJPB (r.jina.ai)
Solânea,Comarca de Solânea,Comarca de Solânea,Sede,Balcao Virtual TJPB (r.jina.ai)
Sossêgo,Comarca de Soledade,Comarca de Soledade,Termo,Balcao Virtual TJPB (r.jina.ai)
Sousa,Comarca de Sousa,Comarca de Sousa,Sede,Balcao Virtual TJPB (r.jina.ai)
Sumé,Comarca de Sumé,Comarca de Sumé,Sede,Balcao Virtual TJPB (r.jina.ai)
São Bentinho,Comarca de Pombal,Comarca de Pombal,Termo,Balcao Virtual TJPB (r.jina.ai)
São Bento,Comarca de São Bento,Comarca de São Bento,Sede,Balcao Virtual TJPB (r.jina.ai)
São Domingos,Comarca de Pombal,Comarca de Pombal,Termo,Balcao Virtual TJPB (r.jina.ai)
São Domingos do Cariri,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
São Francisco,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
São José da Lagoa Tapada,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
São José de Caiana,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
São José de Espinharas,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
São José de Piranhas,Comarca de São José de Piranhas,Comarca de São José de Piranhas,Sede,Balcao Virtual TJPB (r.jina.ai)
São José de Princesa,Comarca Integrada de Princesa Isabel e Água Branca,Comarca Int.Pric.Isabel e Agua Branca,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
São José do Bonfim,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
São José do Brejo do Cruz,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
São José do Sabugi,Comarca de Santa Luzia,Comarca de Santa Luzia,Termo,Balcao Virtual TJPB (r.jina.ai)
São José dos Cordeiros,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
São José dos Ramos,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
São João do Cariri,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Sede,Balcao Virtual TJPB (r.jina.ai)
São João do Tigre,Comarca de Monteiro,Comarca de Monteiro,Termo,Balcao Virtual TJPB (r.jina.ai)
São Mamede,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
São Miguel de Taipu,Comarca de Itabaiana,Comarca de Itabaiana,Termo,Balcao Virtual TJPB (r.jina.ai)
São Sebastião de Lagoa de Roça,Comarca de Esperança,Comarca de Esperança,Termo,Balcao Virtual TJPB (r.jina.ai)
São Sebastião do Umbuzeiro,Comarca de Monteiro,Comarca de Monteiro,Termo,Balcao Virtual TJPB (r.jina.ai)
São Vicente do Seridó,Comarca de Soledade,Comarca de Soledade,Termo,Balcao Virtual TJPB (r.jina.ai)
Tacima,Comarca de Araruna,Comarca de Araruna,Termo,Balcao Virtual TJPB (r.jina.ai)
Taperoá,Comarca de Taperoá,Comarca de Taperoá,Sede,Balcao Virtual TJPB (r.jina.ai)
Tavares,Comarca Integrada de Princesa Isabel e Água Branca,Comarca Int.Pric.Isabel e Agua Branca,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Teixeira,Comarca de Teixeira,Comarca de Teixeira,Sede,Balcao Virtual TJPB (r.jina.ai)
Tenório,Comarca de Juazeirinho,Comarca de Juazeirinho,Termo,Balcao Virtual TJPB (r.jina.ai)
Triunfo,Comarca de São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Termo,Balcao Virtual TJPB (r.jina.ai)
Uiraúna,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Umbuzeiro,Comarca de Umbuzeiro,Comarca de Umbuzeiro,Sede,Balcao Virtual TJPB (r.jina.ai)
Vieirópolis,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Vista Serrana,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Várzea,Comarca de Santa Luzia,Comarca de Santa Luzia,Termo,Balcao Virtual TJPB (r.jina.ai)
Zabelê,Comarca de Monteiro,Comarca de Monteiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Água Branca,Comarca Integrada de Princesa Isabel e Água Branca,Comarca Int.Pric.Isabel e Agua Branca,Sede,Balcao Virtual TJPB (r.jina.ai)
